"Bit(s)","Field Name","Description","Type","Reset"
"31-30","---","Reserved","R","0"
"29-27","FSEL19","FSEL19 - Function Select 19 
000 = GPIO Pin 19 is an input 
001 = GPIO Pin 19 is an output 
100 = GPIO Pin 19 takes alternate function 0 
101 = GPIO Pin 19 takes alternate function 1 
110 = GPIO Pin 19 takes alternate function 2 
111 = GPIO Pin 19 takes alternate function 3 
011 = GPIO Pin 19 takes alternate function 4 
010 = GPIO Pin 19 takes alternate function 5","R/W","0"
"26-24","FSEL18","FSEL18 - Function Select 18","R/W","0"
"23-21","FSEL17","FSEL17 - Function Select 17","R/W","0"
"20-18","FSEL16","FSEL16 - Function Select 16","R/W","0"
"17-15","FSEL15","FSEL15 - Function Select 15","R/W","0"
"14-12","FSEL14","FSEL14 - Function Select 14","R/W","0"
"11-9","FSEL13","FSEL13 - Function Select 13","R/W","0"
"8-6","FSEL12","FSEL12 - Function Select 12","R/W","0"
"5-3","FSEL11","FSEL11 - Function Select 11","R/W","0"
"2-0","FSEL10","FSEL10 - Function Select 10","R/W","0"
