"0xb10","11_DEST_AD","DMA Channel 11 CB Word 2 (Destination Address)","32"
"0xb14","11_TXFR_LEN","DMA Channel 11 CB Word 3 (Transfer Length)","32"
"0xb1c","11_NEXTCONBK","DMA Channel 11 CB Word 5 (Next CB Address)","32"
"0xb20","11_DEBUG","DMA Channel 11 Debug","32"
"0xc00","12_CS","DMA Channel 12 Control and Status","32"
"0xc04","12_CONBLK_AD","DMA Channel 12 Control Block Address","32"
"0xc08","12_TI","DMA Channel 12 CB Word 0 (Transfer Information)","32"
"0xc0c","12_SOURCE_AD","DMA Channel 12 CB Word 1 (Source Address)","32"
"0xc10","12_DEST_AD","DMA Channel 12 CB Word 2 (Destination Address)","32"
"0xc14","12_TXFR_LEN","DMA Channel 12 CB Word 3 (Transfer Length)","32"
"0xc1c","12_NEXTCONBK","DMA Channel 12 CB Word 5 (Next CB Address)","32"
"0xc20","12_DEBUG","DMA Channel 12 Debug","32"
"0xd00","13_CS","DMA Channel 13 Control and Status","32"
"0xd04","13_CONBLK_AD","DMA Channel 13 Control Block Address","32"
"0xd08","13_TI","DMA Channel 13 CB Word 0 (Transfer Information)","32"
"0xd0c","13_SOURCE_AD","DMA Channel 13 CB Word 1 (Source Address)","32"
"0xd10","13_DEST_AD","DMA Channel 13 CB Word 2 (Destination Address)","32"
"0xd14","13_TXFR_LEN","DMA Channel 13 CB Word 3 (Transfer Length)","32"
"0xd1c","13_NEXTCONBK","DMA Channel 13 CB Word 5 (Next CB Address)","32"
"0xd20","13_DEBUG","DMA Channel 13 Debug","32"
"0xe00","14_CS","DMA Channel 14 Control and Status","32"
