"0x118","1_STRIDE","DMA Channel 1 CB Word 4 (2D Stride)","32"
"0x11c","1_NEXTCONBK","DMA Channel 1 CB Word 5 (Next CB Address)","32"
"0x120","1_DEBUG","DMA Channel 1 Debug","32"
"0x200","2_CS","DMA Channel 2 Control and Status","32"
"0x204","2_CONBLK_AD","DMA Channel 2 Control Block Address","32"
"0x208","2_TI","DMA Channel 2 CB Word 0 (Transfer Information)","32"
"0x20c","2_SOURCE_AD","DMA Channel 2 CB Word 1 (Source Address)","32"
"0x210","2_DEST_AD","DMA Channel 2 CB Word 2 (Destination Address)","32"
"0x214","2_TXFR_LEN","DMA Channel 2 CB Word 3 (Transfer Length)","32"
"0x218","2_STRIDE","DMA Channel 2 CB Word 4 (2D Stride)","32"
"0x21c","2_NEXTCONBK","DMA Channel 2 CB Word 5 (Next CB Address)","32"
"0x220","2_DEBUG","DMA Channel 2 Debug","32"
"0x300","3_CS","DMA Channel 3 Control and Status","32"
"0x304","3_CONBLK_AD","DMA Channel 3 Control Block Address","32"
"0x308","3_TI","DMA Channel 3 CB Word 0 (Transfer Information)","32"
"0x30c","3_SOURCE_AD","DMA Channel 3 CB Word 1 (Source Address)","32"
"0x310","3_DEST_AD","DMA Channel 3 CB Word 2 (Destination Address)","32"
"0x314","3_TXFR_LEN","DMA Channel 3 CB Word 3 (Transfer Length)","32"
"0x318","3_STRIDE","DMA Channel 3 CB Word 4 (2D Stride)","32"
"0x31c","3_NEXTCONBK","DMA Channel 3 CB Word 5 (Next CB Address)","32"
"0x320","3_DEBUG","DMA Channel 0 Debug","32"
