"0x60c","6_SOURCE_AD","DMA Channel 6 CB Word 1 (Source Address)","32"
"0x610","6_DEST_AD","DMA Channel 6 CB Word 2 (Destination Address)","32"
"0x614","6_TXFR_LEN","DMA Channel 6 CB Word 3 (Transfer Length)","32"
"0x618","6_STRIDE","DMA Channel 6 CB Word 4 (2D Stride)","32"
"0x61c","6_NEXTCONBK","DMA Channel 6 CB Word 5 (Next CB Address)","32"
"0x620","6_DEBUG","DMA Channel 6 Debug","32"
"0x700","7_CS","DMA Channel 7 Control and Status","32"
"0x704","7_CONBLK_AD","DMA Channel 7 Control Block Address","32"
"0x708","7_TI","DMA Channel 7 CB Word 0 (Transfer Information)","32"
"0x70c","7_SOURCE_AD","DMA Channel 7 CB Word 1 (Source Address)","32"
"0x710","7_DEST_AD","DMA Channel 7 CB Word 2 (Destination Address)","32"
"0x714","7_TXFR_LEN","DMA Channel 7 CB Word 3 (Transfer Length)","32"
"0x71c","7_NEXTCONBK","DMA Channel 7 CB Word 5 (Next CB Address)","32"
"0x720","7_DEBUG","DMA Channel 7 Debug","32"
"0x800","8_CS","DMA Channel 8 Control and Status","32"
"0x804","8_CONBLK_AD","DMA Channel 8 Control Block Address","32"
"0x808","8_TI","DMA Channel 8 CB Word 0 (Transfer Information)","32"
"0x80c","8_SOURCE_AD","DMA Channel 8 CB Word 1 (Source Address)","32"
"0x810","8_DEST_AD","DMA Channel 8 CB Word 2 (Destination Address)","32"
"0x814","8_TXFR_LEN","DMA Channel 8 CB Word 3 (Transfer Length)","32"
"0x81c","8_NEXTCONBK","DMA Channel 8 CB Word 5 (Next CB Address)","32"
