"GPIO","Pull
ALT0
ALT1
ALT2
ALT3
ALT4
ALT5",""
"GPIO0","High
SDA0
SA5
PCLK
SPI3_CE0_N
TXD2
SDA6",""
"GPIO1","High
SCL0
SA4
DE
SPI3_MISO
RXD2
SCL6",""
"GPIO2","High
SDA1
SA3
LCD_VSYNC
SPI3_MOSI
CTS2
SDA3",""
"GPIO3","High
SCL1
SA2
LCD_HSYNC
SPI3_SCLK
RTS2
SCL3",""
"GPIO4","High","GPCLK0
SA1
DPI_D0
SPI4_CE0_N
TXD3
SDA3"
"GPIO5","High","GPCLK1
SA0
DPI_D1
SPI4_MISO
RXD3
SCL3"
"GPIO6","High","GPCLK2
SOE_N / SE
DPI_D2
SPI4_MOSI
CTS3
SDA4"
"GPIO7","High","SPI0_CE1_N
SWE_N /
DPI_D3
SPI4_SCLK
RTS3
SCL4
SRW_N"
"GPIO8","High","SPI0_CE0_N
SD0
DPI_D4
BSCSL / CE_N TXD4
SDA4"
"GPIO9","Low","SPI0_MISO
SD1
DPI_D5
BSCSL / MISO RXD4
SCL4"
